hsa:1	A1BG
hsa:2	A2M
hsa:3	A2MP1
hsa:9	NAT1
hsa:10	NAT2
hsa:11	NATP
hsa:12	SERPINA3
hsa:13	AADAC
hsa:14	AAMP
hsa:15	AANAT
hsa:16	AARS
hsa:17	AAVS1
hsa:18	ABAT
hsa:19	ABCA1
hsa:20	ABCA2
hsa:21	ABCA3
hsa:22	ABCB7
hsa:23	ABCF1
hsa:24	ABCA4
hsa:25	ABL1
hsa:26	AOC1
hsa:27	ABL2
hsa:28	ABO
hsa:29	ABR
hsa:30	ACAA1
hsa:31	ACACA
hsa:32	ACACB
hsa:33	ACADL
hsa:34	ACADM
hsa:35	ACADS
hsa:36	ACADSB
hsa:37	ACADVL
hsa:38	ACAT1
hsa:39	ACAT2
hsa:40	ASIC2
hsa:41	ASIC1
hsa:43	ACHE
hsa:46	ACLS
hsa:47	ACLY
hsa:48	ACO1
hsa:49	ACR
hsa:50	ACO2
hsa:51	ACOX1
hsa:52	ACP1
hsa:53	ACP2
hsa:54	ACP5
hsa:55	ACPP
hsa:56	ACRV1
hsa:58	ACTA1
hsa:59	ACTA2
hsa:60	ACTB
hsa:62	ACTBP2
hsa:63	ACTBP3
hsa:64	ACTBP4
hsa:66	ACTBP6
hsa:67	ACTBP7
hsa:68	ACTBP8
hsa:69	ACTBP9
hsa:70	ACTC1
hsa:71	ACTG1
hsa:72	ACTG2
hsa:73	ACTG1P1
hsa:74	ACTG1P2
hsa:75	ACTG1P3
hsa:78	ACTG1P6
hsa:79	ACTG1P7
hsa:80	ACTG1P8
hsa:81	ACTN4
hsa:82	ACTG1P9
hsa:83	ACTG1P10
hsa:86	ACTL6A
hsa:87	ACTN1
hsa:88	ACTN2
hsa:89	ACTN3
hsa:90	ACVR1
hsa:91	ACVR1B
hsa:92	ACVR2A
hsa:93	ACVR2B
hsa:94	ACVRL1
hsa:95	ACY1
hsa:97	ACYP1
hsa:98	ACYP2
hsa:100	ADA
hsa:101	ADAM8
hsa:102	ADAM10
hsa:103	ADAR
hsa:104	ADARB1
hsa:105	ADARB2
hsa:106	ADCP1
hsa:107	ADCY1
hsa:108	ADCY2
hsa:109	ADCY3
hsa:111	ADCY5
hsa:112	ADCY6
hsa:113	ADCY7
hsa:114	ADCY8
hsa:115	ADCY9
hsa:116	ADCYAP1
hsa:117	ADCYAP1R1
hsa:118	ADD1
hsa:119	ADD2
hsa:120	ADD3
hsa:122	ADFN
hsa:123	PLIN2
hsa:124	ADH1A
hsa:125	ADH1B
hsa:126	ADH1C
hsa:127	ADH4
hsa:128	ADH5
hsa:130	ADH6
hsa:131	ADH7
hsa:132	ADK
hsa:133	ADM
hsa:134	ADORA1
hsa:135	ADORA2A
hsa:136	ADORA2B
hsa:137	ADORA2BP1
hsa:140	ADORA3
hsa:141	ADPRH
hsa:142	PARP1
hsa:143	PARP4
