MicroRNA;GeneName;EntrezID;Evidence
hsa-mir-99b-5p;TLR4;7099;21646346
hsa-mir-99b-5p;CD80;941;21646346
hsa-mir-99b-5p;DICER1;23405;21646346
hsa-mir-99b-5p;NDUFA2;4695;21646346
hsa-mir-99a-5p;CCND1;595;21878637
hsa-mir-99a-5p;FRAP1;2475;22751686
hsa-mir-99a-5p;FRAP1;2475;23292834
hsa-mir-99a-5p;ACOT7;11332;20484036
hsa-mir-99a-5p;FRAP1;2475;20484036
hsa-mir-99a-5p;FRAP1;2475;21212412
hsa-mir-99a-5p;PSAT1;29968;21212412
hsa-mir-99a-5p;SMARCD1;6602;21212412
hsa-mir-99a-5p;SMARCA5;8467;21212412
hsa-mir-99a-5p;FRAP1;2475;21878637
hsa-mir-98-5p;IL10;3586;21609717
hsa-mir-98-5p;PTGS2;5743;21609717
hsa-mir-98-5p;TLR4;7099;21609717
hsa-mir-98-5p;HMGA2;8091;17222355
hsa-mir-98-5p;IL1B;3553;19008124
hsa-mir-98-5p;MMP13;4322;19008124
hsa-mir-98-5p;SARS2;54938;19915717
hsa-mir-98-5p;PTPRC;5788;19915717
hsa-mir-98-5p;ACE2;59272;19915717
hsa-mir-98-5p;CASP3;836;19915717
hsa-mir-98-5p;NPC1;4864;21075073
hsa-mir-96-5p;KLK3;354;20378769
hsa-mir-96-5p;AKT1;207;22414602
hsa-mir-96-5p;CDKN1A;1026;21203424
hsa-mir-96-5p;BCR;613;19074828
hsa-mir-96-5p;SOCS2;8835;22524533
hsa-mir-96-5p;FMR1;2332;20197067
hsa-mir-96-5p;CASP2;835;21768104
hsa-mir-96-5p;PPIA;5478;20378769
hsa-mir-96-5p;ALK;238;22414602
hsa-mir-96-5p;BCL2L11;10018;23262295
hsa-mir-96-5p;CDKN1B;1027;21203424
hsa-mir-96-5p;USF2;7392;19074828
hsa-mir-96-5p;DICER1;23405;20197067
hsa-mir-96-5p;MAP4K1;11184;21993544
hsa-mir-96-5p;RIT2;6014;20378769
hsa-mir-96-5p;MAPK8;5599;22414602
hsa-mir-96-5p;SSSCA1;10534;23262295
hsa-mir-96-5p;SSSCA1;10534;21203424
hsa-mir-96-5p;GFI1;2672;19363478
hsa-mir-96-5p;SCPEP1;59342;20197067
hsa-mir-96-5p;IRS1;3667;21993544
hsa-mir-96-5p;TBP;6908;20378769
hsa-mir-96-5p;STAT3;6774;22414602
hsa-mir-96-5p;PTPRR;5801;19363478
hsa-mir-96-5p;FOXO3;2309;21203424
hsa-mir-96-5p;FXR1;8087;20197067
hsa-mir-96-5p;EIF2C1;26523;22013051
hsa-mir-96-5p;SLC1A1;6505;20478254
hsa-mir-96-5p;CISH;1154;22420006
hsa-mir-96-5p;PITPNM1;9600;19363478
hsa-mir-96-5p;CCND1;595;21203424
hsa-mir-96-5p;MOS;4342;20203184
hsa-mir-96-5p;EIF2C2;27161;22013051
hsa-mir-96-5p;AKT1;207;20610624
hsa-mir-96-5p;ADCY6;112;17597072
hsa-mir-96-5p;FABP4;2167;22441842
hsa-mir-96-5p;DICER1;23405;19519957
hsa-mir-96-5p;CREB1;1385;21275079
hsa-mir-96-5p;SAG;6295;20203184
hsa-mir-96-5p;FBXW7;55294;22013051
hsa-mir-96-5p;KRAS;3845;20610624
hsa-mir-96-5p;MITF;4286;17597072
hsa-mir-96-5p;SOX9;6662;22441842
hsa-mir-96-5p;FBN1;2200;19699278
hsa-mir-96-5p;COX8A;1351;21298008
hsa-mir-96-5p;CDH17;1015;20378769
hsa-mir-96-5p;DICER1;23405;22038834
hsa-mir-96-5p;GPHN;10243;20864449
hsa-mir-96-5p;RHOD;29984;18034880
hsa-mir-96-5p;IL8;3576;22524533
hsa-mir-96-5p;FSCN1;6624;19699278
hsa-mir-96-5p;DICER1;23405;21360794
hsa-mir-96-5p;PSAT1;29968;20378769
hsa-mir-96-5p;NR3C1;2908;22128032
hsa-mir-96-5p;SLC12A5;57468;20864449
hsa-mir-96-5p;HTR1B;3351;18283276
hsa-mir-96-5p;MYD88;4615;22524533
hsa-mir-96-5p;TIA1;7072;19699278
hsa-mir-96-5p;ATOH1;474;21360794
hsa-mir-96-5p;HIF1A;3091;20378769
hsa-mir-96-5p;POMC;5443;22128032
hsa-mir-96-5p;RGS2;5997;20864449
hsa-mir-96-5p;PRPH2;5961;18834879
hsa-mir-96-5p;IL23A;51561;22524533
hsa-mir-96-5p;VAMP8;8673;19943878
hsa-mir-96-5p;ARRDC3;57561;21768104
hsa-mir-96-5p;HPRT1;3251;20378769
hsa-mir-96-5p;RNASEH2A;10535;22414602
hsa-mir-96-5p;HOMER1;9456;20864449
hsa-mir-96-5p;MCL1;4170;19074828
hsa-mir-96-5p;STAT6;6778;22524533
hsa-mir-96-5p;CAPNS1;826;20158686
hsa-mir-96-5p;NEUROD4;58158;21768104
hsa-mir-941;SLC27A4;10999;19784364
hsa-mir-941;EIF2C2;27161;19784364
hsa-mir-941;SCPEP1;59342;19784364
hsa-mir-938;IL17A;3605;22537748
hsa-mir-93-5p;CHD4;1108;20065103
hsa-mir-93-5p;E2F1;1869;21959981
hsa-mir-93-5p;MAP2K1;5604;20065103
hsa-mir-93-5p;HDAC4;9759;20519629
hsa-mir-93-5p;AP2M1;1173;20065103
hsa-mir-93-5p;AKT1;207;22465665
hsa-mir-93-5p;RASA1;5921;20065103
hsa-mir-93-5p;SIRT1;23411;21216258
hsa-mir-93-5p;DDX5;1655;20065103
hsa-mir-93-5p;PTEN;5728;22465665
hsa-mir-93-5p;TAF10;6881;20065103
hsa-mir-93-5p;GABPA;2551;21216258
hsa-mir-93-5p;FGFR1;2260;20065103
hsa-mir-93-5p;SP7;121340;22467200
hsa-mir-93-5p;ARPC5L;81873;20065103
hsa-mir-93-5p;MGST1;4257;21216258
hsa-mir-93-5p;NCOA6;23054;20065103
hsa-mir-93-5p;COX8A;1351;23354160
hsa-mir-93-5p;PIAS1;8554;20065103
hsa-mir-93-5p;DDX20;11218;17327266
hsa-mir-93-5p;NFE2L2;4780;21216258
hsa-mir-93-5p;FOSB;2354;20065103
hsa-mir-93-5p;SYNGAP1;8831;20065103
hsa-mir-93-5p;EIF2C2;27161;17327266
hsa-mir-93-5p;CDKN1A;1026;21285944
hsa-mir-93-5p;INPPL1;3636;20065103
hsa-mir-93-5p;MBD4;8930;20065103
hsa-mir-93-5p;TP53INP1;94241;18974142
hsa-mir-93-5p;SLC27A4;10999;21285944
hsa-mir-93-5p;ITPR1;3708;20065103
hsa-mir-93-5p;MCM7;4176;20501654
hsa-mir-93-5p;TUSC2;11334;19671678
hsa-mir-93-5p;SOX2;6657;21285944
hsa-mir-93-5p;NIT1;4817;20065103
hsa-mir-93-5p;VEGFA;7422;20501654
hsa-mir-93-5p;FUS;2521;19671678
hsa-mir-93-5p;TGFBR2;7048;21285944
hsa-mir-93-5p;MED1;5469;20065103
hsa-mir-93-5p;HDAC5;10014;20519629
hsa-mir-93-5p;OPRS1;10280;20065103
hsa-mir-93-5p;KLF4;9314;21285944
hsa-mir-93-5p;MAPK9;5601;20065103
hsa-mir-93-5p;HDAC9;9734;20519629
hsa-mir-92b-5p;CDKN1C;1028;19544458
hsa-mir-92b-5p;CORO1A;11151;19544458
hsa-mir-92b-5p;SLC15A1;6564;21030610
hsa-mir-92a-1-5p;EPHB2;2048;22660396
hsa-mir-92a-1-5p;LATS2;26524;22660396
hsa-mir-92a-1-5p;KRAS;3845;22660396
hsa-mir-92a-1-5p;CCND2;894;22660396
hsa-mir-92a-1-5p;TXNIP;10628;22660396
hsa-mir-92a-3p;DECR1;1666;21922590
hsa-mir-92a-3p;KRAS;3845;21922590
hsa-mir-92a-3p;BID;637;22776000
hsa-mir-92a-3p;SERPINA5;5104;23168199
hsa-mir-92a-3p;BBS9;27241;20484043
hsa-mir-92a-3p;TGFB1;7040;20949564
hsa-mir-92a-3p;FZR1;51343;21148309
hsa-mir-92a-3p;IMPACT;55364;21182798
hsa-mir-92a-3p;RASA1;5921;21423013
hsa-mir-92a-3p;IL10;3586;21471310
hsa-mir-92a-3p;TOB1;10140;21922590
hsa-mir-920;BTRC;8945;19931512
hsa-mir-9-3p;EPHB2;2048;19074725
hsa-mir-9-3p;AKT1;207;19074725
hsa-mir-9-3p;PI3;5266;19074725
hsa-mir-9-3p;CD19;930;19074725
hsa-mir-9-5p;STMN1;3925;20362537
hsa-mir-9-5p;FOXG1;2290;18842901
hsa-mir-9-5p;TP53;7157;21238922
hsa-mir-9-5p;NOTCH1;4851;22836445
hsa-mir-9-5p;C1orf61;10485;19289835
hsa-mir-9-5p;FZR1;51343;19572217
hsa-mir-9-5p;STAT3;6774;21385897
hsa-mir-9-5p;IGFALS;3483;20616011
hsa-mir-9-5p;NEUROD1;4760;18842901
hsa-mir-9-5p;FOXP1;27086;21248104
hsa-mir-9-5p;SRF;6722;22907787
hsa-mir-9-5p;IFNG;3458;19289835
hsa-mir-9-5p;CDH1;999;19572217
hsa-mir-9-5p;PDGFRB;5159;21684288
hsa-mir-9-5p;STMN1;3925;20616011
hsa-mir-9-5p;TP73;7161;18842901
hsa-mir-9-5p;SIRT1;23411;21288303
hsa-mir-9-5p;RHD;6007;23000453
hsa-mir-9-5p;IL1B;3553;19289835
hsa-mir-9-5p;NFKB1;4790;19702828
hsa-mir-9-5p;SOAT1;6646;16357340
hsa-mir-9-5p;CDKN2D;1032;22727464
hsa-mir-9-5p;CREB1;1385;20624818
hsa-mir-9-5p;ERBB2;2064;18973228
hsa-mir-9-5p;GSX2;170825;21368052
hsa-mir-9-5p;HES1;3280;23134481
hsa-mir-9-5p;MYD88;4615;19289835
hsa-mir-9-5p;NFKB1;4790;20102618
hsa-mir-9-5p;COL9A1;1297;16718610
hsa-mir-9-5p;REST;5978;20624818
hsa-mir-9-5p;TFRC;7037;22727464
hsa-mir-9-5p;MYC;4609;18973228
hsa-mir-9-5p;NFKB1;4790;19289835
hsa-mir-9-5p;ELAVL2;1993;21368052
hsa-mir-9-5p;MYC;4609;23364919
hsa-mir-9-5p;MYC;4609;20173740
hsa-mir-9-5p;HRB;3267;16831872
hsa-mir-9-5p;E2F1;1869;20930934
hsa-mir-9-5p;MMP9;4318;22825752
hsa-mir-9-5p;NTRK3;4916;18973228
hsa-mir-9-5p;TLR2;7097;19289835
hsa-mir-9-5p;ELAVL1;1994;21368052
hsa-mir-9-5p;MYCN;4613;23364919
hsa-mir-9-5p;MYCN;4613;20173740
hsa-mir-9-5p;EDG6;8698;16831872
hsa-mir-9-5p;MYC;4609;20930934
hsa-mir-9-5p;NFKB1;4790;22825752
hsa-mir-9-5p;PMP22;5376;18987208
hsa-mir-9-5p;TLR4;7099;19289835
hsa-mir-9-5p;FOXG1;2290;21368052
hsa-mir-9-5p;FZR1;51343;20173740
hsa-mir-9-5p;FOXG1;2290;17260156
hsa-mir-9-5p;RASSF1;11186;21060828
hsa-mir-9-5p;VEGFA;7422;22825752
hsa-mir-9-5p;PXMP2;5827;18987208
hsa-mir-9-5p;CD46;4179;19330006
hsa-mir-9-5p;MEIS2;4212;21368052
hsa-mir-9-5p;VEGFA;7422;20173740
hsa-mir-9-5p;FMR1;2332;17379214
hsa-mir-9-5p;APC;324;21060828
hsa-mir-9-5p;FABP7;2173;22836445
hsa-mir-9-5p;RCOR1;23186;19118166
hsa-mir-9-5p;NR2E1;7101;19330006
hsa-mir-9-5p;PAX6;5080;21368052
hsa-mir-9-5p;CDH1;999;20173740
hsa-mir-9-5p;CDKN2D;1032;18410378
hsa-mir-9-5p;FZR1;51343;21060828
hsa-mir-9-5p;DICER1;23405;22836445
hsa-mir-9-5p;BCL2;596;19118166
hsa-mir-9-5p;GRB2;2885;19531230
hsa-mir-9-5p;NR2E1;7101;21368052
hsa-mir-9-5p;MYC;4609;20173743
hsa-mir-9-5p;CBX7;23492;18686603
hsa-mir-9-5p;FGF8;2253;21238922
hsa-mir-9-5p;HGFAC;3083;22836445
hsa-mir-9-5p;REST;5978;19118166
hsa-mir-9-5p;RAB34;83871;19531230
hsa-mir-9-5p;SLC7A5;8140;21368052
hsa-mir-9-5p;TP53;7157;19549897
hsa-mir-885-5p;CDK2;1017;21233845
hsa-mir-885-5p;MCM5;4174;21233845
hsa-mir-885-5p;TP53;7157;21233845
hsa-mir-802;ZNF828;283489;18952845
hsa-mir-802;LAMB3;3914;18952845
hsa-mir-802;CREB3L3;84699;18952845
hsa-mir-802;AGTR1;185;20558762
hsa-mir-758-3p;ATP8A2;51761;21885853
hsa-mir-758-3p;SLC38A1;81539;21885853
hsa-mir-758-3p;ABCA1;19;21885853
hsa-mir-758-3p;EPHA7;2045;21885853
hsa-mir-758-3p;APOA1;335;21885853
hsa-mir-758-3p;HNT;50863;21885853
hsa-mir-708-5p;AQP1;358;21854740
hsa-mir-7-5p;AKT1;207;22234835
hsa-mir-7-5p;DAP;1611;19336466
hsa-mir-7-5p;EGF;1950;16377567
hsa-mir-7-5p;PTGS2;5743;23053397
hsa-mir-7-5p;IGF1;3479;20819078
hsa-mir-7-5p;CCND1;595;18823940
hsa-mir-7-5p;FRAP1;2475;23223022
hsa-mir-7-5p;CDKN1A;1026;21156648
hsa-mir-7-5p;FRAP1;2475;22234835
hsa-mir-7-5p;SNCA;6622;19628698
hsa-mir-7-5p;EGFR;1956;16377567
hsa-mir-7-5p;FUT4;2526;23054963
hsa-mir-7-5p;IGF1R;3480;20819078
hsa-mir-7-5p;SLC11A1;6556;18823940
hsa-mir-7-5p;EGF;1950;23319046
hsa-mir-7-5p;EGFR;1956;21156648
hsa-mir-7-5p;PIK3CA;5290;22234835
hsa-mir-7-5p;BCL2L11;10018;19758565
hsa-mir-7-5p;NKX2-3;159296;17604726
hsa-mir-7-5p;ITGB1;3688;23054963
hsa-mir-7-5p;EGFR;1956;20931396
hsa-mir-7-5p;CDKN1A;1026;18922890
hsa-mir-7-5p;EGFR;1956;23319046
hsa-mir-7-5p;PAK1;5058;21156648
hsa-mir-7-5p;PIK3CD;5293;22234835
hsa-mir-7-5p;CBX5;23468;19758565
hsa-mir-7-5p;EGFR;1956;18483236
hsa-mir-7-5p;AKT1;207;23135998
hsa-mir-7-5p;ERBB2;2064;20931396
hsa-mir-7-5p;HOXD10;3236;18922890
hsa-mir-7-5p;EPHB2;2048;23319046
hsa-mir-7-5p;CDC42;998;21156648
hsa-mir-7-5p;LRRK2;120892;22245218
hsa-mir-7-5p;MAEL;84944;19758565
hsa-mir-7-5p;AKT1;207;18483236
hsa-mir-7-5p;TLR9;54106;23135998
hsa-mir-7-5p;AKT1;207;20931396
hsa-mir-7-5p;PAK1;5058;18922890
hsa-mir-7-5p;RNASEN;29102;23319046
hsa-mir-7-5p;AKT1;207;21183973
hsa-mir-7-5p;IMPACT;55364;22445466
hsa-mir-7-5p;SLC3A2;6520;19892711
hsa-mir-7-5p;IRS2;8660;18483236
hsa-mir-7-5p;TLR4;7099;23135998
hsa-mir-7-5p;EGFR;1956;20978205
hsa-mir-7-5p;EGFR;1956;19073608
hsa-mir-7-5p;QKI;9444;23319046
hsa-mir-7-5p;IRS1;3667;21183973
hsa-mir-7-5p;E2F1;1869;22492316
hsa-mir-7-5p;ABCC1;4363;20099276
hsa-mir-7-5p;VEGFA;7422;18755890
hsa-mir-7-5p;PIK3R3;8503;23135998
hsa-mir-7-5p;EPHB2;2048;20978205
hsa-mir-7-5p;MOCOS;55034;21358347
hsa-mir-7-5p;AKT1;207;19073608
hsa-mir-7-5p;EGFR;1956;22492316
hsa-mir-7-5p;RNASEN;29102;20385090
hsa-mir-7-5p;E2F3;1871;18823940
hsa-mir-7-5p;SIRT2;22933;23136393
hsa-mir-7-5p;ERF;2077;20978205
hsa-mir-7-5p;FOXC1;2296;21400511
hsa-mir-7-5p;RAF1;5894;19073608
hsa-mir-7-5p;PAX6;5080;22764048
hsa-mir-7-5p;ARSF;416;20385090
hsa-mir-7-5p;HELLS;3070;18823940
hsa-mir-7-5p;PIWIL1;9271;23136393
hsa-mir-7-5p;ETS2;2114;20978205
hsa-mir-7-5p;BCL2L11;10018;21813570
hsa-mir-7-5p;CDKN1A;1026;19336466
hsa-mir-7-5p;DICER1;23405;23015693
hsa-mir-7-5p;SFRS1;6426;20385090
hsa-mir-7-5p;MYC;4609;18823940
hsa-mir-7-5p;DMPK;1760;23139243
hsa-mir-7-5p;MYC;4609;20978205
hsa-mir-7-5p;EIF4EBP1;1978;22234835
hsa-mir-7-5p;SSSCA1;10534;19336466
hsa-mir-7-5p;EGFR;1956;23053397
hsa-mir-7-5p;AKT1;207;20819078
hsa-mir-7-5p;NOTCH1;4851;18823940
hsa-mir-7-5p;MBL2;4153;23139243
hsa-mir-7-5p;TNK2;10188;21156648
hsa-mir-675-5p;COL2A1;1280;22527881
hsa-mir-675-5p;IL1B;3553;22527881
hsa-mir-675-5p;ITM2A;9452;22527881
hsa-mir-675-5p;CTGF;1490;18587395
hsa-mir-675-5p;RB1;5925;19926638
hsa-mir-675-5p;COL2A1;1280;20529846
hsa-mir-675-5p;SOX9;6662;20529846
hsa-mir-663a;TGFBR2;7048;20637737
hsa-mir-663a;VEGFA;7422;22776647
hsa-mir-663a;CCND1;595;20514450
hsa-mir-663a;DICER1;23405;20637737
hsa-mir-663a;PDCD4;27250;20637737
hsa-mir-663a;PTEN;5728;20637737
hsa-mir-663a;TGFB1;7040;20637737
hsa-mir-663a;TGFBR1;7046;20637737
hsa-mir-661;STARD10;10809;20543867
hsa-mir-661;PVRL1;5818;20543867
hsa-mir-661;SNAI1;6615;20543867
hsa-mir-659-3p;GRN;2896;18723524
hsa-mir-657;IGF2R;3482;18602895
hsa-mir-650;MYCN;4613;21352815
hsa-mir-650;NDRG2;57447;21352815
hsa-mir-650;ING4;51147;20381459
hsa-mir-638;SSSCA1;10534;21303527
hsa-mir-638;AKT1;207;21303527
hsa-mir-638;PIK3CA;5290;21303527
hsa-mir-638;PHB2;11331;22048643
hsa-mir-638;BRCA1;672;22048643
hsa-mir-637;SP7;121340;21880893
hsa-mir-631;DOCK11;139818;20881232
hsa-mir-631;ITGA2B;3674;20881232
hsa-mir-631;SLC45A2;51151;20881232
hsa-mir-631;SULT1A1;6817;20881232
hsa-mir-616-5p;TFPI2;7980;21224345
hsa-mir-615-3p;CACNA1E;777;22171942
hsa-mir-613;NR1H3;10062;21310851
hsa-mir-613;SREBF1;6720;21310851
hsa-mir-612;CDKN1A;1026;20417621
hsa-mir-612;TP53;7157;20417621
hsa-mir-610;EGF;1950;22189055
hsa-mir-608;IL6;3569;21209110
hsa-mir-608;SCPEP1;59342;21209110
hsa-mir-608;IL6;3569;21984125
hsa-mir-602;RASSF1;11186;20364114
hsa-mir-602;TP73;7161;20364114
hsa-mir-601;FASN;2194;19889580
hsa-mir-601;NFKB1;4790;19889580
hsa-mir-596;LGALS3BP;3959;23233740
hsa-mir-596;MAPK3;5595;23233740
hsa-mir-596;LGALS3;3958;23233740
hsa-mir-593-5p;PLK1;5347;21170987
hsa-mir-586;SUPT3H;8464;19259136
hsa-mir-586;RUNX2;860;19259136
hsa-mir-584-5p;ITLN1;55600;19665576
hsa-mir-584-5p;ROCK1;6093;21119662
hsa-mir-584-5p;AKT1;207;22332905
hsa-mir-584-5p;PIK3CA;5290;22332905
hsa-mir-584-5p;ITLN1;55600;22332905
hsa-mir-584-5p;MAPK3;5595;22332905
hsa-mir-579;GOLPH3;64083;21965044
hsa-mir-579;CDH6;1004;21965044
hsa-mir-579;SUB1;10923;21965044
hsa-mir-579;NPR3;4883;21965044
hsa-mir-579;ZFR;51663;21965044
hsa-mir-579;MTMR12;54545;21965044
hsa-mir-574-5p;COL1A1;1277;21104817
hsa-mir-574-5p;COL19A1;1310;21268075
hsa-mir-574-5p;COL3A1;1281;21104817
hsa-mir-574-5p;COL4A1;1282;21104817
hsa-mir-574-5p;COL4A5;1287;21104817
hsa-mir-574-5p;COL11A2;1302;21104817
hsa-mir-574-5p;COL19A1;1310;21104817
hsa-mir-574-5p;COL1A1;1277;21268075
hsa-mir-574-5p;COL3A1;1281;21268075
hsa-mir-574-5p;COL4A1;1282;21268075
hsa-mir-574-5p;COL4A5;1287;21268075
hsa-mir-574-5p;COL11A2;1302;21268075
hsa-mir-574-3p;CDKN2A;1029;20483645
hsa-mir-574-3p;IGF2BP3;10643;20483645
hsa-mir-574-3p;IGF2R;3482;20483645
hsa-mir-574-3p;MESDC1;59274;22179486
hsa-mir-569;IRF8;3394;21162035
hsa-mir-569;IRF2;3660;21162035
hsa-mir-569;IRF4;3662;21162035
hsa-mir-569;SPI1;6688;21162035
hsa-mir-569;IRF8;3394;21360505
hsa-mir-569;IRF2;3660;21360505
hsa-mir-569;IRF4;3662;21360505
hsa-mir-569;SPI1;6688;21360505
hsa-mir-562;EYA1;2138;19789318
hsa-mir-559;ERBB2;2064;19486885
hsa-mir-559;MTA1;9112;19584269
hsa-mir-551a;DICER1;23405;16505370
hsa-mir-548c-3p;ADAM8;101;21768308
hsa-mir-548c-3p;SCPEP1;59342;21768308
hsa-mir-548c-3p;TOP2A;7153;21768308
hsa-mir-548a-5p;EP300;2033;21057533
hsa-mir-548a-5p;LRP1B;53353;21057533
hsa-mir-542-5p;COX8A;1351;20473924
hsa-mir-542-5p;MYCN;4613;20473924
hsa-mir-542-5p;NTRK1;4914;20473924
hsa-mir-542-5p;BIRC5;332;20728447
hsa-mir-542-5p;GJB2;2706;22981648
hsa-mir-542-5p;RNASEN;29102;22981648
hsa-mir-542-5p;DGCR8;54487;22981648
hsa-mir-542-5p;EFS;10278;20473924
hsa-mir-539-5p;LRPAP1;4043;16973894
hsa-mir-539-5p;HLCS;3141;20592104
hsa-mir-532-5p;TLR4;7099;23015294
hsa-mir-532-5p;ADIPOQ;9370;23015294
hsa-mir-532-5p;RUNX3;864;19336521
hsa-mir-532-5p;EHHADH;1962;23015294
hsa-mir-532-5p;ANPEP;290;23015294
hsa-mir-525-5p;CPAMD8;27151;20706588
hsa-mir-524-5p;HES1;3280;22871495
hsa-mir-520h;PPP2R4;5524;20501832
hsa-mir-520h;TWIST1;7291;20501832
hsa-mir-520h;ABCG2;9429;20628378
hsa-mir-520e;CD46;4179;20574151
hsa-mir-520c-5p;CLK1;1195;21324318
hsa-mir-520c-5p;CTNNB1;1499;21324318
hsa-mir-520c-5p;IFNA1;3439;21324318
hsa-mir-520b;KLRK1;22914;19109132
hsa-mir-520b;HLA-E;3133;19109132
hsa-mir-519e-5p;NPAS2;4862;21140207
hsa-mir-519d;ETV1;2115;21703393
hsa-mir-519d;TIMP2;7077;22262409
hsa-mir-519d;FBP1;2203;21703393
hsa-mir-519d;TP53;7157;22262409
hsa-mir-519d;ANXA1;301;21703393
hsa-mir-519d;NOTCH3;4854;21703393
hsa-mir-519d;RAD23B;5887;21703393
hsa-mir-519d;BID;637;21703393
hsa-mir-519d;SIM2;6493;21703393
hsa-mir-519d;TNFRSF1A;7132;21703393
hsa-mir-519d;PPARA;5465;20057369
hsa-mir-519d;AKT3;10000;22262409
hsa-mir-519d;SAT1;6303;20057369
hsa-mir-519d;CDKN1A;1026;22262409
hsa-mir-519d;MKI67;4288;21524841
hsa-mir-519d;PTEN;5728;22262409
hsa-mir-519c-5p;ABCG2;9429;19825807
hsa-mir-519c-5p;AKT1;207;20233879
hsa-mir-519c-5p;HGF;3082;20233879
hsa-mir-519c-5p;HIF1A;3091;20233879
hsa-mir-519c-5p;ATP8A2;51761;22887864
hsa-mir-519c-5p;ABCB1;5243;22887864
hsa-mir-519c-5p;ABCG2;9429;22887864
hsa-mir-519c-5p;ABCG2;9429;18573883
hsa-mir-519c-5p;ELAVL1;1994;19088191
hsa-mir-519c-5p;SF4;57794;19088191
hsa-mir-519b-5p;CD160;11126;22981979
hsa-mir-517-5p;BCL2;596;21479368
hsa-mir-517-5p;BCLAF1;9774;21479368
hsa-mir-517-5p;PTK2B;2185;23142219
hsa-mir-516a-3p;WNT5A;7474;21169410
hsa-mir-513a-5p;CD274;29126;19155478
hsa-mir-513a-5p;COL11A2;1302;22504158
hsa-mir-513a-5p;XIAP;331;22504158
hsa-mir-513a-5p;TP53;7157;22504158
hsa-mir-512-5p;MCL1;4170;19503096
hsa-mir-512-5p;HDAC9;9734;19503096
hsa-mir-512-5p;CFLAR;8837;20372864
hsa-mir-510;HTR3A;3359;18614545
hsa-mir-506-3p;NRAS;4893;21726609
hsa-mir-506-3p;PPARA;5465;22036718
hsa-mir-506-3p;SLC4A2;6522;22383162
hsa-mir-504;TP53;7157;20542001
hsa-mir-503-5p;CYP17A1;1586;19799966
hsa-mir-503-5p;CYP19A1;1588;19799966
hsa-mir-503-5p;DICER1;23405;19799966
hsa-mir-503-5p;AMH;268;19799966
hsa-mir-503-5p;AMHR2;269;19799966
hsa-mir-503-5p;INHBA;3624;19799966
hsa-mir-503-5p;BMP15;9210;19799966
hsa-mir-503-5p;RASGRF1;5923;21220732
hsa-mir-503-5p;CCNE1;898;21220732
hsa-mir-503-5p;CDC25A;993;21220732
hsa-mir-502-5p;SETD8;387893;19789321
hsa-mir-502-5p;SETD8;387893;22095217
hsa-mir-502-5p;TP53;7157;22095217
hsa-mir-499a-5p;HLA-E;3133;20447577
hsa-mir-499a-5p;DNM1L;10059;21186368
hsa-mir-499a-5p;TP53;7157;21186368
hsa-mir-499a-5p;ARCN1;372;21565178
hsa-mir-499a-5p;PDCD4;27250;21934092
hsa-mir-499a-5p;FOXO4;4303;21934092
hsa-mir-499a-5p;ZNF828;283489;19416200
hsa-mir-499a-5p;COX8A;1351;22159951
hsa-mir-499a-5p;MUTYH;4595;19948655
hsa-mir-499a-5p;MYH7B;57644;19948655
hsa-mir-499a-5p;SOX6;55553;20154144
hsa-mir-499a-5p;MYH7B;57644;20154144
hsa-mir-498;CPLX2;10814;20819981
hsa-mir-498;MAX;4149;20819981
hsa-mir-497-5p;BCL2;596;20053374
hsa-mir-497-5p;EPHB2;2048;23092882
hsa-mir-497-5p;IL1B;3553;23092882
hsa-mir-497-5p;IL6;3569;23092882
hsa-mir-497-5p;MAPK1;5594;23092882
hsa-mir-497-5p;MAPK3;5595;23092882
hsa-mir-497-5p;MAP2K1;5604;23092882
hsa-mir-497-5p;RAF1;5894;23092882
hsa-mir-495-3p;PROCR;10544;21258409
hsa-mir-495-3p;FLOT2;2319;21258409
hsa-mir-495-3p;DDIT4;54541;21258409
hsa-mir-495-3p;ELSPBP1;64100;21258409
hsa-mir-495-3p;CD44;960;21258409
hsa-mir-495-3p;PTP4A3;11156;22469786
hsa-mir-494;ADAM8;101;21859890
hsa-mir-494;TOP2A;7153;22785131
hsa-mir-494;CLN5;1203;21859890
hsa-mir-494;CCNB1;891;22785131
hsa-mir-494;CDK6;1021;19925859
hsa-mir-494;SF4;57794;21859890
hsa-mir-494;PTTG1;9232;22785131
hsa-mir-494;PTEN;5728;20006626
hsa-mir-494;TSPO;706;21859890
hsa-mir-494;CDC20;991;22785131
hsa-mir-494;AKT1;207;20837890
hsa-mir-494;IGF2BP1;10642;22151897
hsa-mir-494;FGFR2;2263;20837890
hsa-mir-494;AKT1;207;22544933
hsa-mir-494;LIF;3976;20837890
hsa-mir-494;PTEN;5728;22544933
hsa-mir-494;PTEN;5728;20837890
hsa-mir-494;SLC25A10;1468;22785131
hsa-mir-494;ROCK1;6093;20837890
hsa-mir-494;FBN2;2201;22785131
hsa-mir-494;HRAS;3265;20878133
hsa-mir-494;PLK1;5347;22785131
hsa-mir-494;JUN;3725;20878133
hsa-mir-494;POLD1;5424;22785131
hsa-mir-492;BSG;682;21655935
hsa-mir-492;MTSS1;9788;21655935
hsa-mir-492;KRT19;3880;21319197
hsa-mir-492;PLAG1;5324;21319197
hsa-mir-491-5p;CDH18;1016;21128281
hsa-mir-491-5p;GREM1;26585;21128281
